SUBURB,PRICE,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN_DIST,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH_DIST,NEAREST_SCH_RANK,YEAR_SOLD,MONTH_SOLD,Price/land
Alexander Heights,453285.15625,3.7890625,1.8515625,2.2459016393442623,627.703125,168.8828125,1993.3478260869565,13968.75,7085.9375,6064.0,-31.826960441953126,115.86453279765625,1.91244472596875,65.77272727272727,2017.78125,6.796875,740.0049492635826
Alfred Cove,840086.5666666667,3.5083333333333333,1.7916666666666667,2.087719298245614,616.7416666666667,183.25833333333333,1989.7350427350427,9787.958333333334,3881.133333333333,6154.0,-32.033892329083336,115.81589462833334,1.4815166033166667,48.625,2016.5166666666667,7.433333333333334,1619.752546616875
Alkimos,413749.8070175439,3.6315789473684212,1.9736842105263157,2.018867924528302,9031.622807017544,180.96491228070175,2013.43,40705.26315789474,2512.4561403508774,6038.0,-31.616570400175437,115.6881273491228,4.337169348157895,39.0,2019.0,7.043859649122807,1044.6518632029085
Anketell,1008763.1578947369,4.157894736842105,2.1052631578947367,3.0588235294117645,21029.36842105263,287.7368421052632,1998.25,29368.42105263158,4005.2631578947367,6167.0,-32.21534651578947,115.8781437,5.696344711,,2011.8947368421052,6.2105263157894735,67.96033723412222
Applecross,1376689.8734177216,3.7848101265822787,2.3037974683544302,2.48,777.0126582278481,232.65822784810126,1988.7820512820513,7141.772151898735,1811.6708860759493,6153.0,-32.01372192025317,115.83812531898734,1.8254921951291139,37.9746835443038,2018.2784810126582,6.6455696202531644,2378.1711493746716
Ardross,1072145.3223140496,3.727272727272727,2.0661157024793386,2.1315789473684212,542.9090909090909,208.6611570247934,1991.8260869565217,8528.099173553719,2404.1322314049585,6153.0,-32.02666357099174,115.83814004793388,0.6549533291396694,34.0,2017.5867768595042,6.68595041322314,2171.0064627994398
Armadale,246611.11111111112,3.2222222222222223,1.1746031746031746,1.8,838.2222222222222,113.34920634920636,1980.542372881356,25782.539682539682,1082.4444444444443,6112.0,-32.148283183333334,116.00391951904761,0.6551227078761904,81.36111111111111,2019.015873015873,6.904761904761905,416.1283022346877
Ascot,803359.1666666666,3.566666666666667,2.0,2.2212389380530975,687.2583333333333,204.69166666666666,1994.2372881355932,6890.0,2303.3333333333335,6104.0,-31.934318946416667,115.92864174916667,2.4221994065416665,54.56521739130435,2016.0083333333334,7.025,1804.8442152007326
Ashby,483321.62921348313,3.758426966292135,1.9887640449438202,2.0402298850574714,513.3876404494382,176.7808988764045,2006.8181818181818,24733.76404494382,3236.4157303370785,6065.0,-31.73361980792135,115.79892237584271,3.06791886455618,117.93820224719101,2015.6966292134832,6.286516853932584,1019.6198839261035
Ashfield,484939.0243902439,3.347560975609756,1.5670731707317074,2.0272108843537415,646.1158536585366,145.33536585365854,1983.722972972973,8398.780487804877,600.0914634146342,6054.0,-31.91750993762195,115.93782090365853,0.7101000886682927,,2012.4024390243903,6.121951219512195,813.9710903225819
Attadale,1192734.7105263157,3.754385964912281,2.1842105263157894,2.0934579439252334,775.2719298245614,228.09649122807016,1984.1964285714287,9911.40350877193,4585.964912280701,6156.0,-32.026804794824564,115.80196927105263,1.1809471705236843,14.657894736842104,2018.0350877192982,6.7105263157894735,1789.9767067405214
Atwell,542581.7846153846,3.8,1.9692307692307693,2.110497237569061,594.1589743589743,191.12307692307692,2001.6875,21368.71794871795,2245.702564102564,6164.0,-32.14404505266666,115.86542867179487,0.8624670934035897,129.0,2018.1897435897436,6.758974358974359,967.5734941051267
Aubin Grove,570786.5185185185,3.919753086419753,2.037037037037037,2.367088607594937,562.3518518518518,203.87654320987653,2009.0142857142857,24174.69135802469,4954.938271604939,6164.0,-32.16934235981481,115.86322828333334,2.850034157660494,129.0,2017.4753086419753,6.567901234567901,1075.973738268517
Aveley,440986.4864864865,3.77027027027027,1.9932432432432432,2.2142857142857144,20786.864864864863,197.90540540540542,2010.3153846153846,22337.837837837837,12284.45945945946,6069.0,-31.78332610297297,115.98614161148649,0.9883967897243243,72.1554054054054,2019.0945945945946,6.986486486486487,886.1200269179728
Balcatta,524628.1690140845,3.1971830985915495,1.647887323943662,1.838235294117647,723.0704225352113,152.94366197183098,1990.6617647058824,8836.61971830986,2769.0140845070423,6021.0,-31.878352207746477,115.82492401830984,1.3908995475492958,123.84057971014492,2018.605633802817,7.28169014084507,1157.1542757382708
Baldivis,419363.4259259259,3.8703703703703702,2.0,2.1030927835051547,1434.148148148148,189.57407407407408,2009.2826086956522,43297.22222222222,4758.333333333333,6171.0,-32.33914047712963,115.81358486666667,1.4956870756472223,93.33333333333333,2020.0,8.63888888888889,757.6963164649474
Balga,309362.0689655172,3.1551724137931036,1.5344827586206897,2.0408163265306123,518.8103448275862,112.37931034482759,1989.8909090909092,11086.206896551725,4317.241379310345,6061.0,-31.85415754948276,115.84025310517242,0.9965385283810345,35.733333333333334,2018.8103448275863,7.741379310344827,794.9714385698943
Ballajura,420807.3768115942,3.7753623188405796,1.7681159420289856,2.224,645.036231884058,161.3985507246377,1992.3100775193798,12827.536231884058,8490.579710144928,6066.0,-31.84276660862319,115.89933498695653,1.3795458127586957,133.0,2018.9782608695652,7.550724637681159,679.2893545144584
Banjup,1103590.25,4.1875,2.1875,4.766666666666667,20072.15625,248.90625,1992.9333333333334,22737.5,4262.5,6164.0,-32.1551605721875,115.883183721875,2.684393833028125,129.0,2016.5,7.09375,86.74863023164883
Banksia Grove,382368.0722891566,3.6204819277108435,1.9337349397590362,2.0745341614906834,491.17469879518075,161.33734939759037,2009.1410256410256,28821.68674698795,6093.975903614458,6031.0,-31.697567809216867,115.80372422710845,0.9778890278771084,92.0,2018.3072289156626,7.072289156626506,869.2260033775901
Baskerville,904050.0,4.1,2.2,2.5555555555555554,52488.6,270.45,1990.75,25075.0,11635.0,6056.0,-31.797921148,116.05166787499999,6.2810221319,55.0,2007.5,8.4,43.627734258636266
Bassendean,546484.1578947369,3.263157894736842,1.6210526315789473,1.9529411764705882,754.8105263157895,145.34736842105264,1979.0444444444445,9948.421052631578,741.5578947368421,6054.0,-31.904865765473684,115.94791344526315,1.17398827422,117.0,2019.1684210526316,7.136842105263158,1005.8535832676297
Bateman,801316.9491525424,3.864406779661017,1.9406779661016949,2.1875,728.4067796610169,190.98305084745763,1984.8181818181818,11560.169491525423,815.9237288135594,6150.0,-32.05556358161017,115.84721134491525,0.7102612291838983,28.0,2016.0254237288136,6.5423728813559325,1185.4448218712184
Bayswater,607954.5625,3.2395833333333335,1.5833333333333333,2.058139534883721,636.0625,157.51041666666666,1976.7956989247311,6442.708333333333,882.5625,6053.0,-31.919197131145832,115.91413262083334,1.4008419978427085,37.2625,2019.28125,6.760416666666667,1129.9623911560227
Beaconsfield,774403.947368421,3.4035087719298245,1.8333333333333333,2.135135135135135,653.061403508772,166.48245614035088,1975.4495412844037,15525.368421052632,2824.4561403508774,6162.0,-32.0688093404386,115.7667596508772,0.7171695575342105,128.0,2017.6666666666667,7.324561403508772,1694.7365891175848
Beckenham,405862.6857142857,3.357142857142857,1.4428571428571428,2.492063492063492,794.2571428571429,141.92857142857142,1983.2238805970148,12477.142857142857,1155.3285714285714,6107.0,-32.020583362428575,115.96341387428572,1.6701723581342858,114.0,2017.9571428571428,6.542857142857143,584.4205745487956
Bedford,660490.0574712644,3.2758620689655173,1.6896551724137931,2.189873417721519,618.4252873563219,165.70114942528735,1977.0232558139535,5639.080459770115,1908.6436781609195,6052.0,-31.909871733448277,115.89116228045977,0.9706181732517241,42.3448275862069,2017.9655172413793,6.954022988505747,1236.0172548423247
Bedfordale,748650.234375,4.09375,2.1015625,3.310924369747899,10510.578125,247.5390625,1998.898148148148,30125.78125,4684.375,6112.0,-32.16286768539062,116.0590396859375,2.611455807796875,,2016.3203125,6.5703125,153.94001034578383
Beechboro,385165.4205607477,3.4205607476635516,1.3364485981308412,2.6161616161616164,714.3457943925233,128.18691588785046,1986.1650485436894,12041.121495327103,4331.77570093458,6063.0,-31.868421127383176,115.93897856635513,1.4416377240261682,,2017.747663551402,6.841121495327103,558.7822407845028
Beeliar,536281.1728395062,3.8395061728395063,1.9876543209876543,2.159235668789809,616.0061728395061,185.72222222222223,2004.2517482517483,20643.20987654321,4545.061728395061,6164.0,-32.13298708944444,115.81125953518519,1.727176264293827,,2018.1728395061727,6.425925925925926,969.9540193520262
Beldon,490010.55555555556,3.5294117647058822,1.3986928104575163,1.5384615384615385,706.1176470588235,136.45751633986927,1985.2312925170068,21660.13071895425,1481.5947712418301,6027.0,-31.775271502483662,115.76381386993464,0.7558637937535948,102.06535947712419,2016.1503267973856,7.209150326797386,700.6294981967328
Belhus,774750.0,4.138888888888889,1.9722222222222223,2.75,14405.361111111111,251.41666666666666,1995.4242424242425,24122.222222222223,12972.222222222223,6069.0,-31.775306128055554,116.00689986666667,2.931012592194444,68.0,2008.1666666666667,7.555555555555555,86.89540442157386
Bellevue,368800.36697247706,3.1009174311926606,1.2660550458715596,1.8484848484848484,884.1100917431193,121.0,1976.2169811320755,17438.532110091743,3380.733944954128,6056.0,-31.902620025504586,116.03395786238532,1.9760852363944954,,2014.2935779816514,6.935779816513762,524.0559337003598
Belmont,505116.58904109587,3.4657534246575343,1.6712328767123288,2.1818181818181817,761.945205479452,156.6027397260274,1984.6923076923076,7050.6164383561645,3606.7123287671234,6104.0,-31.947965534246578,115.93446017534245,1.3563057400876712,57.0,2017.9178082191781,6.602739726027397,973.5407500207662
Bennett Springs,495591.7251184834,3.981042654028436,2.023696682464455,2.27363184079602,803.1516587677725,178.0995260663507,2003.5,12609.478672985782,5701.895734597157,6063.0,-31.858936637298576,115.93419067535545,2.2350478750473934,133.0,2016.1279620853081,6.440758293838862,880.1518950818806
