SUBURB,avg(PRICE),avg(LAND_AREA),avg(FLOOR_AREA),avg(PROPERTY_AGE),avg(PRICE/FLOOR($/m2)),avg(PRICE/LAND($/m2)),avg(Land/Floor)
Mount Hawthorn,993565.4672897196,486.0841121495327,164.37383177570092,61.41904761904762,6403.990374658758,2200.527688510845,3.2908214468420147
Doubleview,836239.5833333334,502.7395833333333,174.63541666666666,34.72527472527472,4967.545367619169,1842.405266093627,3.1031445744142907
St James,552261.4942528736,567.5747126436781,139.91954022988506,40.35,4175.134867677145,1098.7744464904185,4.470184516018746
Brentwood,757967.1052631579,487.14912280701753,170.08771929824562,21.517857142857142,4713.011209459957,1717.6989267533831,3.1377550201236115
Sorrento,1031235.5769230769,1023.625,237.19230769230768,31.387755102040817,4753.859537724334,1452.0971618420563,6.990527623403922
Clarkson,374551.9588235294,962.7,158.5529411764706,15.807453416149068,2434.84121681397,821.0819199672726,7.8662887280608285
Floreat,1476393.7007874015,791.2519685039371,237.6220472440945,45.75806451612903,6597.819439296281,1975.4753776512357,3.703531466512196
Mindarie,725433.4928229665,610.8708133971292,237.96172248803828,18.300970873786408,3104.744208903024,1296.1225843177967,2.654644300840851
Redcliffe,465941.72185430466,503.682119205298,148.58940397350995,22.824817518248175,3275.4678019790686,1037.4798688799904,3.533457010592692
Oakford,835467.7419354839,18297.139784946237,261.93548387096774,16.46153846153846,3667.7596605650483,63.767584434815475,87.64903464851098
Cardup,747255.5555555555,16122.177777777777,230.2,14.95,3412.819052481687,62.90996629775622,74.09717369747142
Booragoon,893440.2173913043,647.0869565217391,199.08695652173913,34.37362637362637,4689.321844646883,1612.5354151253364,3.4028090609779094
Whitby,437500.0,483.0,187.75,1.0,2337.6014672089786,909.0754357298475,2.577151993496013
Glendalough,480360.0,1405.64,106.2,27.208333333333332,4443.065071505417,2197.832964795891,22.172535613293107
Chidlow,539113.9240506329,13729.683544303798,161.32911392405063,29.239436619718308,3686.2356793974654,136.36288641522535,95.07336619008298
Jindalee,610807.3394495413,509.0091743119266,222.8348623853211,7.176470588235294,2800.090258666129,1258.8913832583742,2.3078616540656274
Mardella,829000.0,47751.61111111111,244.72222222222223,23.38888888888889,4134.310670092674,132.87918038707582,252.52030549813148
Spearwood,501019.48051948054,572.6883116883117,163.5974025974026,27.458333333333332,3265.9000085727794,1141.424010821149,3.68027294607885
Shoalwater,479005.28301886795,590.4150943396227,167.56603773584905,28.346534653465348,3108.7373522484236,1003.9303320571573,3.8640885396179327
